NAME,SLOC,COMMITS,DIRECT CONTRIBUTORS,TRANSITIVE CONTRIBUTORS,NOTES
airavata-custos,5579,24,4,22023,
airavata-django-portal,100991,1177,9,23356,
airflow,163756,7401,982,23139,
allura,78481,9475,45,22042,
bloodhound,82465,1238,9,22043,
cassandra-dtest,70619,5168,72,22023,
chemistry-cmislib,9143,117,2,0,
cloudstack-ec2stack,5390,341,5,22023,
cloudstack-gcestack,3299,332,4,22023,But main language is JSON:8435
comdev-wwwsite,87,2,1,0,
dubbo-python,968,72,5,22024,
dubbo-python2,2004,154,1,22023
fluo-muchos,1477,290,16,0,
kibble,8507,629,6,22023,LOC of JavaScript is 8656
kibble-scanners,4122,166,1,22023,
libcloud,165092,6880,277,22023,
openwhisk-composer-python,1820,84,5,22023,
openwhisk-deploy-mesos,1675,2,2,22023,But main language is JSON: 3742
openwhisk-package-kafka,1415,233,13,0,
openwhisk-utilities,1143,62,9,0,
phoenix-queryserver,8131,10,6,22023,
predictionio-sdk-python,1739,122,17,0,
qpid-dispatch,36193,2443,19,0,
qpid-interop-test,5224,187,2,0,
qpid-python,21110,1006,14,0,
rocketmq-client-python,861,308,14,22023,
steve,2862,387,4,0,LOC of JavaScript is 20914: but Apache still considers it as Python project
trafficserver-qa,1105,109,2,22023,
usergrid-python,660,2,1,22023,
