RuleID,Name,Severity,Effort,IntroDate,RemoveDate,,File,Project,Intro-Commit,Intro-Author,Remove-Commit,Remove-Author
29,Cognitive Complexity of functions should not be too high,CRITICAL,11,2014/9/20,2014/9/20,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,de0ff6145e553d018fe269ae3da81343d2983e37,Justin Yip
276,Access of nonexistent member,MAJOR,10,2013/2/7,2013/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,3dcd425427c9519c9353b30aff7d1be54ce05163,victorhooi
276,Access of nonexistent member,MAJOR,10,2013/2/7,2013/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,3dcd425427c9519c9353b30aff7d1be54ce05163,victorhooi
276,Access of nonexistent member,MAJOR,10,2013/2/7,2013/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,3dcd425427c9519c9353b30aff7d1be54ce05163,victorhooi
50,Lines should not be too long,MAJOR,1,2013/2/7,2013/7/9,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,6b2045d7c1bfae8d4e7f4cb42781890d366a8134,Kenneth Chan
50,Lines should not be too long,MAJOR,1,2013/2/7,2013/7/9,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,6b2045d7c1bfae8d4e7f4cb42781890d366a8134,Kenneth Chan
16,"Sections of code should not be ""commented out""",MAJOR,5,2013/2/7,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,2fbd7b5abcb404e196962beaae006ce2d2688df6,Kenneth Chan,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip
50,Lines should not be too long,MAJOR,1,2013/2/7,2013/10/24,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn
50,Lines should not be too long,MAJOR,1,2013/7/9,2013/10/24,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,6b2045d7c1bfae8d4e7f4cb42781890d366a8134,Kenneth Chan,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn
276,Access of nonexistent member,MAJOR,10,2013/8/24,2013/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,4453256b3b065905d25b697ecf4272d471a3673d,Kenneth Chan,3dcd425427c9519c9353b30aff7d1be54ce05163,victorhooi
276,Access of nonexistent member,MAJOR,10,2013/2/7,2013/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,3dcd425427c9519c9353b30aff7d1be54ce05163,victorhooi
276,Access of nonexistent member,MAJOR,10,2013/2/7,2013/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,3dcd425427c9519c9353b30aff7d1be54ce05163,victorhooi
276,Access of nonexistent member,MAJOR,10,2013/9/20,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59c7b294e4bfc9479ae00c4b106a3072bc00cc33,Kenneth Chan,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip
47,Files should not have too many lines of code,MAJOR,60,2013/9/27,2013/10/8,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,77a0b2e81c599b2ba754005c1a1d7a97c1a25f7e,Kenneth Chan,7c8a39dd57d63c89f1270585c239f2870701469e,Kenneth Chan
50,Lines should not be too long,MAJOR,1,2013/7/9,2013/10/24,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,6b2045d7c1bfae8d4e7f4cb42781890d366a8134,Kenneth Chan,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn
50,Lines should not be too long,MAJOR,1,2013/7/9,2013/10/24,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,6b2045d7c1bfae8d4e7f4cb42781890d366a8134,Kenneth Chan,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn
50,Lines should not be too long,MAJOR,1,2013/7/9,2013/10/24,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,6b2045d7c1bfae8d4e7f4cb42781890d366a8134,Kenneth Chan,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn
50,Lines should not be too long,MAJOR,1,2013/2/7,2013/10/24,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn
50,Lines should not be too long,MAJOR,1,2013/10/8,2013/10/24,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,7c8a39dd57d63c89f1270585c239f2870701469e,Kenneth Chan,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn
276,Access of nonexistent member,MAJOR,10,2013/2/7,2013/10/26,AW7M5L5gxTKPnYLZNPVo,predictionio-sdk-python/predictionio/connection.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,a494c25e2dd4c35cca45573671832fe6d6bf75bf,Jes¨²s Espino
276,Access of nonexistent member,MAJOR,10,2013/2/7,2013/10/26,AW7M5L5gxTKPnYLZNPVo,predictionio-sdk-python/predictionio/connection.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,a494c25e2dd4c35cca45573671832fe6d6bf75bf,Jes¨²s Espino
276,Access of nonexistent member,MAJOR,10,2013/9/20,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59c7b294e4bfc9479ae00c4b106a3072bc00cc33,Kenneth Chan,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip
14,Docstrings should be defined,MAJOR,5,2013/2/7,2013/10/26,AW7M5L5gxTKPnYLZNPVo,predictionio-sdk-python/predictionio/connection.py,predictionio-sdk-python,bfc179eccc43c5582fd9af8f65409cce1ebcff0f,Kenneth Chan,2711fe72cedd64742e23cc76f0bb1a700b116652,webgeist
276,Access of nonexistent member,MAJOR,10,2013/9/20,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59c7b294e4bfc9479ae00c4b106a3072bc00cc33,Kenneth Chan,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip
276,Access of nonexistent member,MAJOR,10,2013/10/26,2013/11/1,AW7M5L5gxTKPnYLZNPVo,predictionio-sdk-python/predictionio/connection.py,predictionio-sdk-python,2711fe72cedd64742e23cc76f0bb1a700b116652,webgeist,ebe230692bc2c14464d9213ee0e886d0967160b1,Donald Szeto
276,Access of nonexistent member,MAJOR,10,2013/10/26,2013/11/1,AW7M5L5gxTKPnYLZNPVo,predictionio-sdk-python/predictionio/connection.py,predictionio-sdk-python,2711fe72cedd64742e23cc76f0bb1a700b116652,webgeist,ebe230692bc2c14464d9213ee0e886d0967160b1,Donald Szeto
14,Docstrings should be defined,MAJOR,5,2013/10/26,2013/11/1,AW7M5L5gxTKPnYLZNPVo,predictionio-sdk-python/predictionio/connection.py,predictionio-sdk-python,2711fe72cedd64742e23cc76f0bb1a700b116652,webgeist,ebe230692bc2c14464d9213ee0e886d0967160b1,Donald Szeto
47,Files should not have too many lines of code,MAJOR,60,2013/10/24,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,1be22708e90a6bba1ab773ece88cded010d8c3bd,Tristan Hearn,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip
394,Undefined variable,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
276,Access of nonexistent member,MAJOR,10,2013/9/20,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59c7b294e4bfc9479ae00c4b106a3072bc00cc33,Kenneth Chan,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
360,Undefined name,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
360,Undefined name,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
360,Undefined name,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
394,Undefined variable,MAJOR,10,2014/9/18,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip
394,Undefined variable,MAJOR,10,2014/9/18,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip
14,Docstrings should be defined,MAJOR,5,2014/9/19,2014/9/23,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip,026b86d6347ce32bfa6ed1e6f629740eb1697b6c,Justin Yip
57,Source files should have a sufficient density of comment lines,MAJOR,50,2014/9/18,2014/9/23,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,908668cffaf72c3ca298e80b164ff00fe2eb9890,Justin Yip
281,Syntax error,MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
281,Syntax error,MAJOR,5,2014/9/19,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip
276,Access of nonexistent member,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
276,Access of nonexistent member,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
14,Docstrings should be defined,MAJOR,5,2014/9/19,2014/11/12,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,fd634edb41c9e55223b905822f9faff2a0c14f0c,Justin Yip
281,Syntax error,MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
